tsne_1,tsne_2,state,persona_id,diary_index,token_index,token,decoded_text,token_type
34.50545,72.64087,Baseline,1,1,0,<think>,<think>,content
-42.501312,47.372265,Baseline,1,1,1,"

","<think>

",whitespace
-70.03124,8.922932,Baseline,1,1,2,</think>,"<think>

</think>",content
41.248554,57.04806,Baseline,1,1,3,"

","<think>

</think>

",whitespace
77.96883,9.23542,Baseline,1,1,4,今日は,"<think>

</think>

今日は",content
58.330032,52.467346,Baseline,1,1,5,月,"<think>

</think>

今日は月",content
-43.610935,64.52224,Baseline,1,1,6,曜,"<think>

</think>

今日は月曜",content
76.35543,34.298847,Baseline,1,1,7,日,"<think>

</think>

今日は月曜日",content
-55.22891,61.37935,Baseline,1,1,8,。,"<think>

</think>

今日は月曜日。",content
-87.664825,-1.9249493,Baseline,1,1,9,朝,"<think>

</think>

今日は月曜日。朝",content
63.26487,36.733036,Baseline,1,1,10,から,"<think>

</think>

今日は月曜日。朝から",content
80.97054,-2.0137517,Baseline,1,1,11,雨,"<think>

</think>

今日は月曜日。朝から雨",content
-76.73526,-7.911528,Baseline,1,1,12,が,"<think>

</think>

今日は月曜日。朝から雨が",content
-68.45478,-3.8957705,Baseline,1,1,13,降,"<think>

</think>

今日は月曜日。朝から雨が降",content
65.92795,-5.246753,Baseline,1,1,14,っていて,"<think>

</think>

今日は月曜日。朝から雨が降っていて",content
13.733611,-22.057833,Baseline,1,1,15,、,"<think>

</think>

今日は月曜日。朝から雨が降っていて、",content
58.583214,1.1687331,Baseline,1,1,16,通,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通",content
59.18455,1.0848503,Baseline,1,1,17,勤,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤",content
59.28111,1.0744458,Baseline,1,1,18,の,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の",content
49.048687,12.362758,Baseline,1,1,19,足,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足",content
48.85765,12.570872,Baseline,1,1,20,を,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を",content
61.173225,-2.419718,Baseline,1,1,21,少し,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し",content
61.146397,-2.4189706,Baseline,1,1,22,早,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早",content
60.46047,-2.3633323,Baseline,1,1,23,め,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早め",content
59.529503,-2.434576,Baseline,1,1,24,に,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めに",content
58.598793,-2.6384144,Baseline,1,1,25,した,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにした",content
58.457283,-2.6876597,Baseline,1,1,26,が,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが",content
31.336391,56.822716,Baseline,1,1,27,、,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、",content
30.783005,56.641605,Baseline,1,1,28,結,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結",content
30.97598,56.73726,Baseline,1,1,29,局,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局",content
31.80044,56.972115,Baseline,1,1,30,電,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電",content
-8.462729,28.227869,Baseline,1,1,31,車,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車",content
48.144764,13.244717,Baseline,1,1,32,が,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が",content
47.600346,12.905552,Baseline,1,1,33,�,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が�",content
47.599957,13.508471,Baseline,1,1,34,�,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が遅",content
48.379005,13.917363,Baseline,1,1,35,延,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が遅延",content
48.408066,15.322727,Baseline,1,1,36,して,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が遅延して",content
48.51816,15.848128,Baseline,1,1,37,しま,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が遅延してしま",content
-49.920128,5.813239,Baseline,1,1,38,った,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が遅延してしまった",content
48.612427,16.32135,Baseline,1,1,39,。,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が遅延してしまった。",content
48.579147,16.241362,Baseline,1,1,40,昨日,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が遅延してしまった。昨日",content
21.621403,46.70084,Baseline,1,1,41,、,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が遅延してしまった。昨日、",content
-5.950601,8.591408,Baseline,1,1,42,佐,"<think>

</think>

今日は月曜日。朝から雨が降っていて、通勤の足を少し早めにしたが、結局電車が遅延してしまった。昨日、佐",content
